condition,mode,seed,step,IFN_gamma,PD_L1,TGF_beta
anti_PD1_early,rules,456,19,0.01146,0.000296,0.221498
anti_PD1_early,rules,456,20,0.013061,0.000173,0.231325
anti_PD1_early,rules,456,21,0.013524,9.2e-05,0.24014
anti_PD1_early,rules,456,22,0.014092,4.4e-05,0.2475
anti_PD1_early,rules,456,23,0.016205,2e-05,0.252622
anti_PD1_early,rules,456,24,0.015445,9e-06,0.257033
anti_PD1_early,rules,456,25,0.01722,4e-06,0.260267
anti_PD1_early,rules,456,26,0.019423,2e-06,0.261292
anti_PD1_early,rules,456,27,0.01993,1e-06,0.26081
anti_PD1_early,rules,456,28,0.020934,0.0,0.258867
anti_PD1_early,rules,456,29,0.020045,0.0,0.256104
anti_PD1_early,rules,456,30,0.021436,0.0,0.253187
anti_PD1_late,deepseek,123,1,0.0,0.002509,0.005554
anti_PD1_late,deepseek,123,2,0.0,0.004649,0.010664
anti_PD1_late,deepseek,123,3,0.0,0.006449,0.015365
anti_PD1_late,deepseek,123,4,0.0,0.008058,0.01969
anti_PD1_late,deepseek,123,5,0.015,0.068797,0.072668
anti_PD1_late,deepseek,123,6,0.01525,0.058715,0.073159
anti_PD1_late,deepseek,123,7,0.013725,0.050794,0.076085
anti_PD1_late,deepseek,123,8,0.012352,0.044667,0.081778
anti_PD1_late,deepseek,123,9,0.011117,0.03991,0.093464
anti_PD1_late,deepseek,123,10,0.085006,0.100802,0.160191
anti_PD1_late,deepseek,123,11,0.084005,0.085362,0.17123
anti_PD1_late,deepseek,123,12,0.075979,0.073113,0.183386
anti_PD1_late,deepseek,123,13,0.068757,0.063393,0.194794
anti_PD1_late,deepseek,123,14,0.062181,0.055719,0.205889
anti_PD1_late,deepseek,123,15,0.155068,0.072692,0.271447
anti_PD1_late,deepseek,123,16,0.156777,0.036279,0.27667
anti_PD1_late,deepseek,123,17,0.149834,0.019445,0.281933
anti_PD1_late,deepseek,123,18,0.143116,0.011521,0.28715
anti_PD1_late,deepseek,123,19,0.136688,0.007719,0.291725
anti_PD1_late,deepseek,123,20,0.209127,0.024045,0.355809
anti_PD1_late,deepseek,123,21,0.208519,0.013026,0.353469
