group,pair,mode,seed,step,tumor_count,alive,cd8_pct
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,3,229,529,0.2268
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,4,242,542,0.2214
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,5,240,540,0.2222
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,6,250,550,0.2182
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,7,266,566,0.212
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,8,270,570,0.2105
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,9,287,587,0.2044
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,10,264,564,0.2128
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,11,268,568,0.2113
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,12,276,576,0.2083
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,13,285,585,0.2051
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,14,290,587,0.2044
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,15,265,561,0.2139
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,16,269,565,0.2124
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,17,267,563,0.2131
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,18,273,568,0.2113
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,19,277,572,0.2098
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,20,254,549,0.2186
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,21,258,553,0.217
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,22,256,550,0.2182
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,23,238,532,0.2256
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,24,242,535,0.2243
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,25,227,520,0.2308
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,26,226,519,0.2312
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,27,206,498,0.241
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,28,186,478,0.251
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,29,195,487,0.2464
anti_PD1_early,PD1_KO_vs_anti_PD1,deepseek,456,30,167,459,0.2614
